objname ra dec cutout_size E_B_V_SandF mean_E_B_V_SandF stdev_E_B_V_SandF max_E_B_V_SandF min_E_B_V_SandF AV_SandF E_B_V_SFD mean_E_B_V_SFD stdev_E_B_V_SFD max_E_B_V_SFD min_E_B_V_SFD AV_SFD errmsg
NGC3953 178.45429 52.3268 5.0 0.0258 0.0263 0.0012 0.0303 0.0246 0.0799 0.03 0.0306 0.0014 0.0352 0.0287 0.0929 ""
NGC5921 230.48537 5.07064 5.0 0.0343 0.0344 0.0003 0.035 0.0339 0.1065 0.0399 0.04 0.0003 0.0407 0.0394 0.1238 ""
NGC3359 161.65351 63.22421 5.0 0.0072 0.0072 0.0001 0.0076 0.007 0.0223 0.0084 0.0084 0.0001 0.0089 0.0082 0.0259 ""
NGC4237 184.29775 15.32404 5.0 0.0258 0.0257 0.0002 0.0261 0.0252 0.08 0.03 0.0299 0.0003 0.0303 0.0293 0.093 ""
NGC4212 183.91407 13.9015 5.0 0.0285 0.0284 0.0004 0.029 0.0276 0.0882 0.0331 0.0331 0.0004 0.0338 0.0321 0.1026 ""
NGC3049 148.70652 9.2711 5.0 0.033 0.0331 0.0009 0.035 0.0308 0.1023 0.0384 0.0384 0.0011 0.0407 0.0359 0.1189 ""
NGC4725 192.61072 25.50077 5.0 0.0102 0.0102 0.0002 0.0106 0.0095 0.0315 0.0118 0.0118 0.0003 0.0123 0.0111 0.0367 ""
NGC3351 160.9906 11.70374 5.0 0.0238 0.0239 0.0001 0.0242 0.0236 0.0738 0.0277 0.0278 0.0001 0.0282 0.0275 0.0859 ""
NGC5112 200.48516 38.73457 5.0 0.0094 0.0092 0.0002 0.0096 0.0087 0.029 0.0109 0.0107 0.0003 0.0112 0.0101 0.0338 ""
NGC6207 250.76548 36.83222 5.0 0.0131 0.0131 0.0002 0.0135 0.0127 0.0405 0.0152 0.0152 0.0002 0.0157 0.0148 0.0471 ""
NGC1530 65.86142 75.29548 5.0 0.1292 0.1297 0.0015 0.1341 0.1276 0.4005 0.1502 0.1508 0.0017 0.156 0.1483 0.4657 ""
NGC0972 38.55554 29.31136 5.0 0.0917 0.0922 0.0008 0.0954 0.0914 0.2844 0.1067 0.1072 0.001 0.1109 0.1063 0.3307 ""
